table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default	character_maximum_length
blockchain	wallets	16	chaincode_name	character varying	varchar	YES		150
blockchain	wallets	17	current_balance	numeric	numeric	NO	0	
blockchain	wallets	18	currency_code	character varying	varchar	NO	'USD'::character varying	10
blockchain	wallets	19	status	character varying	varchar	NO	'ACTIVE'::character varying	30
blockchain	wallets	20	kyc_status	character varying	varchar	NO	'PENDING'::character varying	30
blockchain	wallets	21	risk_level	character varying	varchar	NO	'LOW'::character varying	30
blockchain	wallets	22	wallet_metadata	jsonb	jsonb	NO	'{}'::jsonb	
blockchain	wallets	23	kyc_payload	jsonb	jsonb	NO	'{}'::jsonb	
blockchain	wallets	24	blockchain_payload	jsonb	jsonb	NO	'{}'::jsonb	
blockchain	wallets	25	created_by	character varying	varchar	YES	CURRENT_USER	150
blockchain	wallets	26	updated_by	character varying	varchar	YES		150
blockchain	wallets	27	created_at	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP	
blockchain	wallets	28	updated_at	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP	
blockchain	wallets	29	password_hash	text	text	YES		
blockchain	wallets	30	pin_hash	text	text	YES		
blockchain	wallets	31	login_failed_count	integer	int4	NO	0	
blockchain	wallets	32	login_locked_until	timestamp with time zone	timestamptz	YES		
blockchain	wallets	33	last_login_at	timestamp with time zone	timestamptz	YES		
blockchain	wallets	34	last_failed_login_at	timestamp with time zone	timestamptz	YES		
blockchain	wallets	35	last_login_ip	inet	inet	YES		
blockchain	wallets	36	login_status	character varying	varchar	NO	'ACTIVE'::character varying	30
blockchain	wallets	37	wallet_status	character varying	varchar	YES	'ACTIVE'::character varying	30
blockchain	wallets	38	is_active	boolean	bool	YES	true	
blockchain	wallets	39	currency	text	text	YES		
blockchain	wallets	40	fabric_response	jsonb	jsonb	YES		
blockchain	wallets	41	fabric_transaction_id	text	text	YES		
blockchain	wallets	42	request_id	text	text	YES		
blockchain	wallets	43	request_source	text	text	YES		
blockchain	wallets	44	source_system	text	text	YES		
blockchain	wallets	45	aml_risk_level	character varying	varchar	YES	'LOW'::character varying	20
blockchain	wallets	46	aml_risk_score	integer	int4	YES	0	
blockchain	wallets	47	aml_status	character varying	varchar	YES	'CLEAR'::character varying	30
blockchain	wallets	48	aml_last_reviewed_at	timestamp without time zone	timestamp	YES		
(393 rows)
