table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default	character_maximum_length
blockchain	blockchain_organization_mapping	8	created_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	blockchain_organization_mapping	9	updated_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	blockchain_organization_mapping	10	created_by	character varying	varchar	YES	CURRENT_USER	100
blockchain	blockchain_organization_mapping	11	updated_by	character varying	varchar	YES		100
blockchain	blockchain_wallet_balance	1	wallet_address	character varying	varchar	NO		100
blockchain	blockchain_wallet_balance	2	organization_id	character varying	varchar	NO		100
blockchain	blockchain_wallet_balance	3	currency	character varying	varchar	NO		10
blockchain	blockchain_wallet_balance	4	available_balance	numeric	numeric	NO	0	
blockchain	blockchain_wallet_balance	5	blocked_balance	numeric	numeric	NO	0	
blockchain	blockchain_wallet_balance	6	total_balance	numeric	numeric	NO	0	
blockchain	blockchain_wallet_balance	7	last_transaction_id	character varying	varchar	YES		150
blockchain	blockchain_wallet_balance	8	last_ledger_tx_id	character varying	varchar	YES		150
blockchain	blockchain_wallet_balance	9	last_updated_at	timestamp without time zone	timestamp	NO	now()	
blockchain	blockchain_wallet_integration	1	wallet_id	uuid	uuid	NO	gen_random_uuid()	
blockchain	blockchain_wallet_integration	2	wallet_address	character varying	varchar	NO		150
blockchain	blockchain_wallet_integration	3	blockchain_customer_id	character varying	varchar	NO		100
blockchain	blockchain_wallet_integration	4	blockchain_organization_id	character varying	varchar	YES		100
blockchain	blockchain_wallet_integration	5	customer_name	character varying	varchar	YES		255
blockchain	blockchain_wallet_integration	6	wallet_status	character varying	varchar	NO	'ACTIVE'::character varying	30
blockchain	blockchain_wallet_integration	7	current_balance	numeric	numeric	NO	0	
blockchain	blockchain_wallet_integration	8	currency_code	character varying	varchar	NO	'TOKEN'::character varying	10
blockchain	blockchain_wallet_integration	9	fabric_channel_name	character varying	varchar	YES		100
blockchain	blockchain_wallet_integration	10	chaincode_name	character varying	varchar	YES		100
blockchain	blockchain_wallet_integration	11	fabric_tx_id	character varying	varchar	YES		150
blockchain	blockchain_wallet_integration	12	created_on_blockchain_at	timestamp without time zone	timestamp	YES		
blockchain	blockchain_wallet_integration	13	synced_to_postgres_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	blockchain_wallet_integration	14	created_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	blockchain_wallet_integration	15	updated_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	blockchain_wallet_integration	16	customer_id	text	text	YES		
blockchain	government_ministry_wallets	1	wallet_id	uuid	uuid	NO	gen_random_uuid()	
blockchain	government_ministry_wallets	2	ministry_id	uuid	uuid	NO		
blockchain	government_ministry_wallets	3	wallet_address	character varying	varchar	NO		150
blockchain	government_ministry_wallets	4	wallet_currency	character varying	varchar	NO	'GOV'::character varying	10
blockchain	government_ministry_wallets	5	wallet_initial_balance	numeric	numeric	NO	0	
blockchain	government_ministry_wallets	6	wallet_current_balance	numeric	numeric	NO	0	
blockchain	government_ministry_wallets	7	wallet_type	character varying	varchar	NO		80
blockchain	government_ministry_wallets	8	wallet_status	character varying	varchar	NO	'PENDING'::character varying	80
blockchain	government_ministry_wallets	9	blockchain_status	character varying	varchar	NO	'NOT_SUBMITTED'::character varying	80
blockchain	government_ministry_wallets	10	ledger_reference	character varying	varchar	YES		150
blockchain	government_ministry_wallets	11	tx_id	character varying	varchar	YES		150
blockchain	government_ministry_wallets	12	created_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	government_ministry_wallets	13	updated_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	kyc_documents	1	id	bigint	int8	NO	nextval('blockchain.kyc_documents_id_seq'::regclass)	
blockchain	kyc_documents	2	resident_id	character varying	varchar	NO		100
blockchain	kyc_documents	3	resident_name	character varying	varchar	NO		255
blockchain	kyc_documents	4	document_type	character varying	varchar	NO		100
blockchain	kyc_documents	5	document_number	character varying	varchar	YES		150
