status_id,status_name,creation_date,created_by,updated_by,update_date,is_deleted,status_name_ml,status_color,status_code
1199,CSO Enrichment,2022-12-28,-1995,,,0,,,
1200,Pending BM Approval,2022-12-28,-1995,,,0,,,
1201,Created,2022-12-28,-1995,,,0,,,
1477,InComplete,2023-09-04,,,,0,,,
1476,Complete,2023-09-04,,,,0,,,
1500,Reserved,2024-09-04,-1995,,,0,,,
1501,Sent,2024-09-04,1,,,0,,,006
1502,Paid,2024-09-04,1,,,0,,,006
1503,Will Accept,2025-02-07,-1995,,,0,,,
1504,BoB Declined,2025-02-07,-1995,,,0,,,
1505,BoB Accepted,2025-02-07,-1995,,,0,,,
1507,Pre-Recovery,2024-02-19,,,,0,,,
1508,Recovery,2024-02-19,,,,0,,,
1509,Site Visited,2024-02-19,,,,0,,,
1510,Missing Signs Removed,2024-02-19,,,,0,,,
1511,Remove Signs,2024-02-19,,,,0,,,
1506,Account Opened_,2025-02-07,-1995,,,0,,,
1512,Creation,2014-09-30,-777,,,0,,,
1513,On Hold,2014-09-30,-777,,,0,,,
873,To Be Reviewed,2018-02-08,,,,0,,,
913,Rejected,2018-05-10,-911,,,0,,,
914,Opened,2018-07-09,,-8,2020-01-21,0,,,3
96,Modified,2007-07-03,624,,2014-07-24,0,"<lib><l id=""35""><![CDATA[Измененный]]></l><l id='13'><![CDATA[Modified]]></l></lib>",#08C5B6,
916,Closed With Case,2018-07-09,,,,0,,,
920,Case Closed Justified,2018-07-09,,,,0,,,
921,Escalate Case,2018-07-09,,,,0,,,
893,Pending OD Manager Approval,2018-04-27,-911,,,0,,,
894,OD Manager Approved,2018-04-27,-911,,,0,,,
895,Pending CA Manager Approval,2018-04-27,-911,,,0,,,
896,CA Manager Approved,2018-04-27,-911,,,0,,,
967,Rejected By First Validator,2019-12-06,-1,,,0,,,
945,BM Approved,2019-07-25,-911,,,0,,,
969,Lost,2019-11-20,-8,-8,2020-01-21,0,,,4
970,Stolen,2019-11-20,-8,-8,2020-01-21,0,,,5
971,Restricted,2019-11-20,-8,-8,2020-01-21,0,,,6
972,VIP,2019-11-20,-8,-8,2020-01-21,0,,,7
973,Internal,2019-11-20,-8,-8,2020-01-21,0,,,8
974,Compromised,2019-11-20,-8,-8,2020-01-21,0,,,9
975,Damaged,2019-11-20,-8,-8,2020-01-21,0,,,11
976,Declared,2019-11-20,-8,-8,2020-01-21,0,,,12
977,Expired,2019-11-20,-8,-8,2020-01-21,0,,,13
978,VIP Status,2019-11-20,-8,-8,2020-01-21,0,,,14
979,Warm card,2019-11-20,-8,-8,2020-01-21,0,,,15
980,Deny/Opt to Cap,2019-11-20,-8,-8,2020-01-21,0,,,16
981,Deny/Return CRD,2019-11-20,-8,-8,2020-01-21,0,,,17
982,Cancelled,2019-11-20,-8,-8,2020-01-21,0,,,19
983,Matured and Fully Paid,2019-11-20,-8,-8,2020-01-21,0,,,20
