cur_id,cur_name,iso_cur_code,cur_name_ml,creation_date,created_by,update_date,updated_by,cur_decimal_calc,cur_sname,cur_sname_ml,last_extraction_date,cur_internal_code
121,Leu,ROL,,2014-02-12,-1,,,6,ROL,,,
122,Russian Ruble,RUR,,2014-02-12,-1,,,6,RUR,,,
123,Rwanda Franc,RWF,,2014-02-12,-1,,,6,RWF,,,
124,Saudi Arabia Riyal,SAR,,2014-02-12,-1,,,6,SAR,,,
125,Solomon Islands Dollar,SBD,,2014-02-12,-1,,,6,SBD,,,
126,Seborga Luigino,SBL,,2014-02-12,-1,,,6,SBL,,,
127,Seychelles Rupee,SCR,,2014-02-12,-1,,,6,SCR,,,
128,Sudanese Dinar,SDD,,2014-02-12,-1,,,6,SDD,,,
129,Swedish Krona,SEK,,2014-02-12,-1,,,6,SEK,,,
130,Singapore Dollar,SGD,,2014-02-12,-1,,,6,SGD,,,
131,St Helena Pound,SHP,,2014-02-12,-1,,,6,SHP,,,
132,Tolar,SIT,,2014-02-12,-1,,,6,SIT,,,
133,Slovak Koruna,SKK,,2014-02-12,-1,,,6,SKK,,,
134,Leone,SLL,,2014-02-12,-1,,,6,SLL,,,
135,Somali Shilling,SOS,,2014-02-12,-1,,,6,SOS,,,
136,Surinam Guilder,SRG,,2014-02-12,-1,,,6,SRG,,,
137,Dobra,STD,,2014-02-12,-1,,,6,STD,,,
138,El Salvador Colon,SVC,,2014-02-12,-1,,,6,SVC,,,
139,Syrian Pound,SYP,,2014-02-12,-1,,,6,SYP,,,
140,Lilangeni,SZL,,2014-02-12,-1,,,6,SZL,,,
141,Baht,THB,,2014-02-12,-1,,,6,THB,,,
142,Tajik Ruble,TJR,,2014-02-12,-1,,,6,TJR,,,
143,Manat,TMM,,2014-02-12,-1,,,6,TMM,,,
144,Tunisian Dinar,TND,,2014-02-12,-1,,,6,TND,,,
145,Pa'anga,TOP,,2014-02-12,-1,,,6,TOP,,,
146,Turkish Lira,TRL,,2014-02-12,-1,,,6,TRL,,,
147,Trinidad and Tobago Dollar,TTD,,2014-02-12,-1,,,6,TTD,,,
148,New Taiwan Dollar,TWD,,2014-02-12,-1,,,6,TWD,,,
149,Tanzanian Shilling,TZS,,2014-02-12,-1,,,6,TZS,,,
150,Hryvnia,UAH,,2014-02-12,-1,,,6,UAH,,,
151,Uganda Shilling ++,UGX,,2014-02-12,-1,,,6,UGX,,,
152,Peso Uruguayo,UYU,,2014-02-12,-1,,,6,UYU,,,
153,Uzbekistan Sum,UZS,,2014-02-12,-1,,,6,UZS,,,
154,Bolivar,VEB,,2014-02-12,-1,,,6,VEB,,,
155,Dong,VND,,2014-02-12,-1,,,6,VND,,,
156,Vatu,VUV,,2014-02-12,-1,,,6,VUV,,,
157,Tala,WST,,2014-02-12,-1,,,6,WST,,,
158,CFA Franc BEAC#,XAF,,2014-02-12,-1,,,6,XAF,,,
159,"Silver, Ounces",XAG,,2014-02-12,-1,,,6,XAG,,,
160,"Gold, Ounces",XAU,,2014-02-12,-1,,,6,XAU,,,
161,East Caribbean Dollar,XCD,,2014-02-12,-1,,,6,XCD,,,
162,SDR,XDR,,2014-02-12,-1,,,6,XDR,,,
163,CFA Franc BCEAO+,XOF,,2014-02-12,-1,,,6,XOF,,,
164,"Palladium, Ounces",XPD,,2014-02-12,-1,,,6,XPD,,,
165,CFP Franc,XPF,,2014-02-12,-1,,,6,XPF,,,
